"FREQ","C1(2)[X=0.00]","C1(2)[X=100m]","C1(2)[X=200m]","C1(2)[X=300m]","C1(2)[X=400m]","C1(2)[X=500m]","C1(2)[X=600m]","C1(2)[X=700m]","C1(2)[X=800m]","C1(2)[X=900m]","C1(2)[X=1.00]"
574474.4745,0.00322855,0.00322855,0.00322855,0.00322855,0.00322855,0.00322855,0.00322855,0.00322855,0.00322855,0.00322855,0.00322855
582382.3824,0.00327431,0.00327431,0.00327431,0.00327431,0.00327431,0.00327431,0.00327431,0.00327431,0.00327431,0.00327431,0.00327431
590290.2903,0.00332013,0.00332013,0.00332013,0.00332013,0.00332013,0.00332013,0.00332013,0.00332013,0.00332013,0.00332013,0.00332013
598198.1982,0.00336601,0.00336601,0.00336601,0.00336601,0.00336601,0.00336601,0.00336601,0.00336601,0.00336601,0.00336601,0.00336601
606106.1061,0.00341194,0.00341194,0.00341194,0.00341194,0.00341194,0.00341194,0.00341194,0.00341194,0.00341194,0.00341194,0.00341194
614014.014,0.00345793,0.00345793,0.00345793,0.00345793,0.00345793,0.00345793,0.00345793,0.00345793,0.00345793,0.00345793,0.00345793
621921.9219,0.00350398,0.00350398,0.00350398,0.00350398,0.00350398,0.00350398,0.00350398,0.00350398,0.00350398,0.00350398,0.00350398
629829.8298,0.00355009,0.00355009,0.00355009,0.00355009,0.00355009,0.00355009,0.00355009,0.00355009,0.00355009,0.00355009,0.00355009
637737.7377,0.00359626,0.00359626,0.00359626,0.00359626,0.00359626,0.00359626,0.00359626,0.00359626,0.00359626,0.00359626,0.00359626
645645.6456,0.00364249,0.00364249,0.00364249,0.00364249,0.00364249,0.00364249,0.00364249,0.00364249,0.00364249,0.00364249,0.00364249
653553.5536,0.00368878,0.00368878,0.00368878,0.00368878,0.00368878,0.00368878,0.00368878,0.00368878,0.00368878,0.00368878,0.00368878
661461.4615,0.00373513,0.00373513,0.00373513,0.00373513,0.00373513,0.00373513,0.00373513,0.00373513,0.00373513,0.00373513,0.00373513
669369.3694,0.00378155,0.00378155,0.00378155,0.00378155,0.00378155,0.00378155,0.00378155,0.00378155,0.00378155,0.00378155,0.00378155
677277.2773,0.00382803,0.00382803,0.00382803,0.00382803,0.00382803,0.00382803,0.00382803,0.00382803,0.00382803,0.00382803,0.00382803
685185.1852,0.00387458,0.00387458,0.00387458,0.00387458,0.00387458,0.00387458,0.00387458,0.00387458,0.00387458,0.00387458,0.00387458
693093.0931,0.0039212,0.0039212,0.0039212,0.0039212,0.0039212,0.0039212,0.0039212,0.0039212,0.0039212,0.0039212,0.0039212
701001.001,0.00396788,0.00396788,0.00396788,0.00396788,0.00396788,0.00396788,0.00396788,0.00396788,0.00396788,0.00396788,0.00396788
708908.9089,0.00401463,0.00401463,0.00401463,0.00401463,0.00401463,0.00401463,0.00401463,0.00401463,0.00401463,0.00401463,0.00401463
716816.8168,0.00406145,0.00406145,0.00406145,0.00406145,0.00406145,0.00406145,0.00406145,0.00406145,0.00406145,0.00406145,0.00406145
724724.7247,0.00410834,0.00410834,0.00410834,0.00410834,0.00410834,0.00410834,0.00410834,0.00410834,0.00410834,0.00410834,0.00410834
732632.6326,0.0041553,0.0041553,0.0041553,0.0041553,0.0041553,0.0041553,0.0041553,0.0041553,0.0041553,0.0041553,0.0041553
740540.5405,0.00420233,0.00420233,0.00420233,0.00420233,0.00420233,0.00420233,0.00420233,0.00420233,0.00420233,0.00420233,0.00420233
748448.4484,0.00424943,0.00424943,0.00424943,0.00424943,0.00424943,0.00424943,0.00424943,0.00424943,0.00424943,0.00424943,0.00424943
756356.3564,0.00429661,0.00429661,0.00429661,0.00429661,0.00429661,0.00429661,0.00429661,0.00429661,0.00429661,0.00429661,0.00429661
764264.2643,0.00434386,0.00434386,0.00434386,0.00434386,0.00434386,0.00434386,0.00434386,0.00434386,0.00434386,0.00434386,0.00434386
772172.1722,0.00439119,0.00439119,0.00439119,0.00439119,0.00439119,0.00439119,0.00439119,0.00439119,0.00439119,0.00439119,0.00439119
780080.0801,0.00443859,0.00443859,0.00443859,0.00443859,0.00443859,0.00443859,0.00443859,0.00443859,0.00443859,0.00443859,0.00443859
787987.988,0.00448607,0.00448607,0.00448607,0.00448607,0.00448607,0.00448607,0.00448607,0.00448607,0.00448607,0.00448607,0.00448607
795895.8959,0.00453363,0.00453363,0.00453363,0.00453363,0.00453363,0.00453363,0.00453363,0.00453363,0.00453363,0.00453363,0.00453363
803803.8038,0.00458126,0.00458126,0.00458126,0.00458126,0.00458126,0.00458126,0.00458126,0.00458126,0.00458126,0.00458126,0.00458126
811711.7117,0.00462898,0.00462898,0.00462898,0.00462898,0.00462898,0.00462898,0.00462898,0.00462898,0.00462898,0.00462898,0.00462898
819619.6196,0.00467678,0.00467678,0.00467678,0.00467678,0.00467678,0.00467678,0.00467678,0.00467678,0.00467678,0.00467678,0.00467678
827527.5275,0.00472466,0.00472466,0.00472466,0.00472466,0.00472466,0.00472466,0.00472466,0.00472466,0.00472466,0.00472466,0.00472466
835435.4354,0.00477262,0.00477262,0.00477262,0.00477262,0.00477262,0.00477262,0.00477262,0.00477262,0.00477262,0.00477262,0.00477262
843343.3433,0.00482066,0.00482066,0.00482066,0.00482066,0.00482066,0.00482066,0.00482066,0.00482066,0.00482066,0.00482066,0.00482066
851251.2513,0.00486879,0.00486879,0.00486879,0.00486879,0.00486879,0.00486879,0.00486879,0.00486879,0.00486879,0.00486879,0.00486879
859159.1592,0.00491701,0.00491701,0.00491701,0.00491701,0.00491701,0.00491701,0.00491701,0.00491701,0.00491701,0.00491701,0.00491701
867067.0671,0.00496531,0.00496531,0.00496531,0.00496531,0.00496531,0.00496531,0.00496531,0.00496531,0.00496531,0.00496531,0.00496531
874974.975,0.0050137,0.0050137,0.0050137,0.0050137,0.0050137,0.0050137,0.0050137,0.0050137,0.0050137,0.0050137,0.0050137
882882.8829,0.00506218,0.00506218,0.00506218,0.00506218,0.00506218,0.00506218,0.00506218,0.00506218,0.00506218,0.00506218,0.00506218
890790.7908,0.00511075,0.00511075,0.00511075,0.00511075,0.00511075,0.00511075,0.00511075,0.00511075,0.00511075,0.00511075,0.00511075
898698.6987,0.0051594,0.0051594,0.0051594,0.0051594,0.0051594,0.0051594,0.0051594,0.0051594,0.0051594,0.0051594,0.0051594
906606.6066,0.00520815,0.00520815,0.00520815,0.00520815,0.00520815,0.00520815,0.00520815,0.00520815,0.00520815,0.00520815,0.00520815
914514.5145,0.005257,0.005257,0.005257,0.005257,0.005257,0.005257,0.005257,0.005257,0.005257,0.005257,0.005257
922422.4224,0.00530593,0.00530593,0.00530593,0.00530593,0.00530593,0.00530593,0.00530593,0.00530593,0.00530593,0.00530593,0.00530593
930330.3303,0.00535496,0.00535496,0.00535496,0.00535496,0.00535496,0.00535496,0.00535496,0.00535496,0.00535496,0.00535496,0.00535496
