"FREQ","R1(1)[X=0.00]","R1(1)[X=100m]","R1(1)[X=200m]","R1(1)[X=300m]","R1(1)[X=400m]","R1(1)[X=500m]","R1(1)[X=600m]","R1(1)[X=700m]","R1(1)[X=800m]","R1(1)[X=900m]","R1(1)[X=1.00]"
574474.4745,0.00144131,0.00144131,0.00144131,0.00144131,0.00144131,0.00144131,0.00144131,0.00144131,0.00144131,0.00144131,0.00144131
582382.3824,0.00146141,0.00146141,0.00146141,0.00146141,0.00146141,0.00146141,0.00146141,0.00146141,0.00146141,0.00146141,0.00146141
590290.2903,0.00148153,0.00148153,0.00148153,0.00148153,0.00148153,0.00148153,0.00148153,0.00148153,0.00148153,0.00148153,0.00148153
598198.1982,0.00150165,0.00150165,0.00150165,0.00150165,0.00150165,0.00150165,0.00150165,0.00150165,0.00150165,0.00150165,0.00150165
606106.1061,0.00152179,0.00152179,0.00152179,0.00152179,0.00152179,0.00152179,0.00152179,0.00152179,0.00152179,0.00152179,0.00152179
614014.014,0.00154194,0.00154194,0.00154194,0.00154194,0.00154194,0.00154194,0.00154194,0.00154194,0.00154194,0.00154194,0.00154194
621921.9219,0.0015621,0.0015621,0.0015621,0.0015621,0.0015621,0.0015621,0.0015621,0.0015621,0.0015621,0.0015621,0.0015621
629829.8298,0.00158227,0.00158227,0.00158227,0.00158227,0.00158227,0.00158227,0.00158227,0.00158227,0.00158227,0.00158227,0.00158227
637737.7377,0.00160245,0.00160245,0.00160245,0.00160245,0.00160245,0.00160245,0.00160245,0.00160245,0.00160245,0.00160245,0.00160245
645645.6456,0.00162265,0.00162265,0.00162265,0.00162265,0.00162265,0.00162265,0.00162265,0.00162265,0.00162265,0.00162265,0.00162265
653553.5536,0.00164285,0.00164285,0.00164285,0.00164285,0.00164285,0.00164285,0.00164285,0.00164285,0.00164285,0.00164285,0.00164285
661461.4615,0.00166307,0.00166307,0.00166307,0.00166307,0.00166307,0.00166307,0.00166307,0.00166307,0.00166307,0.00166307,0.00166307
669369.3694,0.00168331,0.00168331,0.00168331,0.00168331,0.00168331,0.00168331,0.00168331,0.00168331,0.00168331,0.00168331,0.00168331
677277.2773,0.00170355,0.00170355,0.00170355,0.00170355,0.00170355,0.00170355,0.00170355,0.00170355,0.00170355,0.00170355,0.00170355
685185.1852,0.00172381,0.00172381,0.00172381,0.00172381,0.00172381,0.00172381,0.00172381,0.00172381,0.00172381,0.00172381,0.00172381
693093.0931,0.00174408,0.00174408,0.00174408,0.00174408,0.00174408,0.00174408,0.00174408,0.00174408,0.00174408,0.00174408,0.00174408
701001.001,0.00176436,0.00176436,0.00176436,0.00176436,0.00176436,0.00176436,0.00176436,0.00176436,0.00176436,0.00176436,0.00176436
708908.9089,0.00178466,0.00178466,0.00178466,0.00178466,0.00178466,0.00178466,0.00178466,0.00178466,0.00178466,0.00178466,0.00178466
716816.8168,0.00180497,0.00180497,0.00180497,0.00180497,0.00180497,0.00180497,0.00180497,0.00180497,0.00180497,0.00180497,0.00180497
724724.7247,0.00182529,0.00182529,0.00182529,0.00182529,0.00182529,0.00182529,0.00182529,0.00182529,0.00182529,0.00182529,0.00182529
732632.6326,0.00184563,0.00184563,0.00184563,0.00184563,0.00184563,0.00184563,0.00184563,0.00184563,0.00184563,0.00184563,0.00184563
740540.5405,0.00186598,0.00186598,0.00186598,0.00186598,0.00186598,0.00186598,0.00186598,0.00186598,0.00186598,0.00186598,0.00186598
748448.4484,0.00188635,0.00188635,0.00188635,0.00188635,0.00188635,0.00188635,0.00188635,0.00188635,0.00188635,0.00188635,0.00188635
756356.3564,0.00190673,0.00190673,0.00190673,0.00190673,0.00190673,0.00190673,0.00190673,0.00190673,0.00190673,0.00190673,0.00190673
764264.2643,0.00192712,0.00192712,0.00192712,0.00192712,0.00192712,0.00192712,0.00192712,0.00192712,0.00192712,0.00192712,0.00192712
772172.1722,0.00194753,0.00194753,0.00194753,0.00194753,0.00194753,0.00194753,0.00194753,0.00194753,0.00194753,0.00194753,0.00194753
780080.0801,0.00196795,0.00196795,0.00196795,0.00196795,0.00196795,0.00196795,0.00196795,0.00196795,0.00196795,0.00196795,0.00196795
787987.988,0.00198839,0.00198839,0.00198839,0.00198839,0.00198839,0.00198839,0.00198839,0.00198839,0.00198839,0.00198839,0.00198839
795895.8959,0.00200884,0.00200884,0.00200884,0.00200884,0.00200884,0.00200884,0.00200884,0.00200884,0.00200884,0.00200884,0.00200884
803803.8038,0.00202931,0.00202931,0.00202931,0.00202931,0.00202931,0.00202931,0.00202931,0.00202931,0.00202931,0.00202931,0.00202931
811711.7117,0.0020498,0.0020498,0.0020498,0.0020498,0.0020498,0.0020498,0.0020498,0.0020498,0.0020498,0.0020498,0.0020498
819619.6196,0.0020703,0.0020703,0.0020703,0.0020703,0.0020703,0.0020703,0.0020703,0.0020703,0.0020703,0.0020703,0.0020703
827527.5275,0.00209081,0.00209081,0.00209081,0.00209081,0.00209081,0.00209081,0.00209081,0.00209081,0.00209081,0.00209081,0.00209081
835435.4354,0.00211134,0.00211134,0.00211134,0.00211134,0.00211134,0.00211134,0.00211134,0.00211134,0.00211134,0.00211134,0.00211134
843343.3433,0.00213189,0.00213189,0.00213189,0.00213189,0.00213189,0.00213189,0.00213189,0.00213189,0.00213189,0.00213189,0.00213189
851251.2513,0.00215245,0.00215245,0.00215245,0.00215245,0.00215245,0.00215245,0.00215245,0.00215245,0.00215245,0.00215245,0.00215245
859159.1592,0.00217303,0.00217303,0.00217303,0.00217303,0.00217303,0.00217303,0.00217303,0.00217303,0.00217303,0.00217303,0.00217303
867067.0671,0.00219363,0.00219363,0.00219363,0.00219363,0.00219363,0.00219363,0.00219363,0.00219363,0.00219363,0.00219363,0.00219363
874974.975,0.00221424,0.00221424,0.00221424,0.00221424,0.00221424,0.00221424,0.00221424,0.00221424,0.00221424,0.00221424,0.00221424
882882.8829,0.00223487,0.00223487,0.00223487,0.00223487,0.00223487,0.00223487,0.00223487,0.00223487,0.00223487,0.00223487,0.00223487
890790.7908,0.00225551,0.00225551,0.00225551,0.00225551,0.00225551,0.00225551,0.00225551,0.00225551,0.00225551,0.00225551,0.00225551
